method;h;N;eps_L2;eps_C;p_L2=eps(2h)/eps(h);p_C=eps(2h)/eps(h)
Euler;0.1;10;0.14583511880073144;0.18234661638600996;;
Euler;0.05;20;0.07769672853812847;0.10183056696600681;1.8769788837269399;1.7906864492552723
Euler;0.025;40;0.04012877631726782;0.05406540416873795;1.9361848446072543;1.8834700032611231
Euler;0.0125;80;0.02039609248778767;0.02789412429112256;1.9674737374963005;1.938236296808376
RK3;0.1;10;0.00029721269179083267;0.0004015397368964894;;
RK3;0.05;20;3.776014345198373e-05;5.445835270934566e-05;7.8710689266520415;7.373336080134145
RK3;0.025;40;4.736698596344398e-06;7.088607468453602e-06;7.971827356953967;7.682517751434456
RK3;0.0125;80;5.924359470518885e-07;9.04125768328941e-07;7.9952923517139896;7.840289168569089
RK4;0.1;10;1.3016400146591851e-05;1.8150571329877665e-05;;
RK4;0.05;20;8.207190661456366e-07;1.2368362288534108e-06;15.859751142033408;14.67499973436569
RK4;0.025;40;5.1202069037828686e-08;8.066118632976385e-08;16.02902151355016;15.333722266331462
RK4;0.0125;80;3.192155007309156e-09;5.1487051579696095e-09;16.039969525474184;15.666305188384989
